BattleType,ARandomTot,DRandomTot,EndingTot,Outcome,AWon,Supplies,AGenRank,AGenARBonus,AGenArmorBonus,AGenWeaponBonus,AGenFollowerBonus,AGenBannerBonus,AGenTrinketBonus,AAdvancedCombatDeck,ABeginARUnitBonus,ABeginMeleeBonus,ABeginRangedBonus,ABeginCavalryBonus,ABeginSoldiers,AEndARUnitBonus,AEndMeleeBonus,AEndRangedBonus,AEndCavalryBonus,AEndSoldiers,ARebelRivermenMercenaries,ARebelRangerOfForest,ARebelCourierRiders,ARebelMountainMen,ARebelAxemenOfVale,ARebelValeCavalry,ARebelLightWoodmen,ARebelWoodsmenArchers,ARebelRidersOfWood,ALightWoodmen,AGuardOfBeladimir,ABeladimirSpearmen,AWoodsmenArchers,AArchersOfBeladimir,ACoastalGuards,ARidersOfWood,ABeladimirCavalry,APlainsCavalry,AMountainMen,ALerastirShieldbearers,ALerastirSpears,APikesOfLerastir,AAxemenOfVale,ABowmenOfLerastir,ACrossbowmenOfSouth,AValeCavalry,ATerritoryGuardsmen,ALerastirPalaceCavalry,AShieldmaidensOfNorth,AMenoriadSpearmen,AAxemenOfWastes,AMenoriadArchers,ARangersOfForest,ACourierRiders,AMenoriadCavalry,ARoyalCavalry,AHuntersOfNorth,ARivermenMercenaries,ATotUnits,ATotReinforcements,AUpgrades,AUnitCas,ASoldierCas,AEndGenState,ATreasureReceived,AFaction,AShips,ARams,ASiegeTowers,ACatapults,DGenRank,DGenTotARBonus,DGenArmorBonus,DGenWeaponBonus,DGenFollowerBonus,DGenBannerBonus,DGenTinketBonus,DAdvancedCombatDeck,DBeginARUnitBonus,DBeginMeleeBonus,DBeginRangedBonus,DBeginCavalryBonus,DBeginSoldiers,DEndARUnitBonus,DEndMeleeBonus,DEndRangedBonus,DEndCavalryBonus,DEndSoldiers,DRebelRivermenMercenaries,DRebelRangerOfForest,DRebelCourierRiders,DRebelMountainMen,DRebelAxemenOfVale,DRebelValeCavalry,DLightWoodmen,DRebelWoodsmenArchers,DRebelRidersOfWood,DLightWoodmen,DGuardOfBeladimir,DBeladimirSpearmen,DWoodsmenArchers,DArchersOfBeladimir,DCoastalGuard,DRidersOfWood,DBeladimirCavalry,DPlainsCavalry,DMountainMen,DLerastirShieldbearers,DLerastirSpearmen,DPikesOfLerastir,DAxemenOfVale,DBowmenOfLerastir,DCrossbowmenOfSouth,DValeCavalry,DTerritoryGuardsmen,DLerastirPalaceCavalry,DShieldmaidensOfNorth,DMenoriadSpearmen,DAxemenOfWastes,DMenoriadArchers,DRangerOfForest,DCourierRiders,DMenoriadCavalry,DRoyalCavalry,DHuntersOfNorth,DRivermenMercenaries,DTotUnits,DTotReinforcements,DUpgrades,DUnitCas,DSoldierCas,DEndGenState,DTreasureReceived,DFaction,DShips,DTownLevel
Siege,68,54,-105,Crushing Defeat,0,7,10,3,0,0,1,1,2,1,25,8,11,6,19,6,0,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,5,0,0,0,8,Unharmed,1,Menoriad,None,4,4,0,8,0,0,0,0,0,0,0,95,31,34,30,29,87,31,29,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,0,2,0,8,5,1,0,2,Unharmed,0,Menoriad,None,Wooden Wall w/ Moat
Siege,45,71,-126,Crushing Defeat,0,6,5,1,0,0,0,1,0,1,54,20,12,22,14,41,12,12,17,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,8,Unharmed,0,Beladimir,None,0,2,2,9,0,0,0,0,0,0,0,128,54,28,46,65,99,44,28,27,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,2,1,4,2,2,18,3,1,0,10,Unharmed,0,Menoriad,None,Wooden Wall
Siege,55,41,9,Close Victory,1,6,3,0,0,0,0,0,0,0,66,16,30,20,15,52,16,20,16,11,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,4,Unharmed,1,Rebel,None,4,2,5,7,3,0,0,0,2,1,1,70,20,29,21,37,47,12,24,11,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,3,1,10,2,0,0,10,Unharmed,0,Menoriad,None,Wooden Wall
Siege,55,50,180,Decisive Victory,1,9,8,1,0,0,0,1,0,0,148,63,55,30,70,132,53,49,30,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,3,3,0,1,1,1,3,18,5,0,0,6,Unharmed,0,Menoriad,None,3,1,4,7,1,0,0,0,1,0,1,30,8,8,14,3,30,8,8,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,Unharmed,1,Beladimir,None,Stone Wall w/ Moat
Siege,60,41,113,Decisive Victory,1,7,7,0,0,0,0,0,0,1,89,35,36,18,68,80,30,36,14,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,3,4,3,0,1,0,0,0,0,0,0,0,0,0,0,18,0,1,0,4,Wounded,0,Lerastir,None,0,1,0,1,0,0,0,0,0,0,0,17,0,5,12,13,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,4,0,0,0,8,Unharmed,1,Menoriad,None,Wooden Wall w/ Moat
Siege,46,56,-24,Crushing Defeat,0,7,3,2,0,2,0,0,0,1,88,38,32,18,69,34,20,8,6,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,5,2,0,1,3,0,0,0,0,0,0,0,0,0,0,18,0,1,3,29,Unharmed,1,Lerastir,None,2,3,1,5,0,0,0,0,0,0,1,101,54,22,25,56,83,36,22,25,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,3,1,0,2,3,15,3,4,0,6,Unharmed,0,Menoriad,None,Wooden Wall w/ Moat
Siege,59,35,-105,Crushing Defeat,0,5,1,2,0,0,0,0,2,0,20,6,4,10,17,6,6,0,0,9,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,8,Unharmed,0,Rebel,None,0,5,4,4,2,0,1,0,1,0,1,103,38,44,21,54,75,29,28,18,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,1,0,1,2,2,14,3,1,0,8,Unharmed,0,Menoriad,None,None
Siege,44,61,32,Decisive Victory,1,6,3,1,0,0,0,1,0,1,103,29,26,48,67,100,29,26,45,65,0,0,0,0,0,0,0,0,0,1,3,1,3,2,0,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,3,0,2,Unharmed,1,Beladimir,None,1,1,5,9,1,0,0,0,1,0,0,85,35,18,32,51,30,16,4,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,2,1,1,0,4,0,0,0,0,0,0,0,0,0,0,14,1,0,2,21,Unharmed,0,Lerastir,None,Wooden Wall
Siege,59,54,-37,Crushing Defeat,0,8,6,0,0,0,0,0,0,0,64,25,23,16,23,36,12,12,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,6,3,0,0,12,Unharmed,0,Menoriad,None,4,2,4,10,2,0,0,0,1,1,1,82,28,24,30,21,79,28,24,27,19,2,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,2,0,2,Unharmed,1,Rebel,None,Stone Wall
Siege,34,48,-58,Crushing Defeat,0,6,6,0,0,0,1,0,0,1,62,25,21,16,41,32,8,17,7,26,0,0,0,0,0,0,0,0,0,1,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,1,15,Wounded,1,Beladimir,None,1,2,3,7,1,0,0,0,1,0,0,100,42,26,32,40,93,38,26,29,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1,2,1,1,0,1,11,4,2,0,4,Unharmed,1,Menoriad,None,Wooden Wall
Siege,50,66,102,Decisive Victory,1,9,9,0,0,0,0,0,0,0,83,30,26,27,18,79,30,26,23,16,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,2,Unharmed,0,Rebel,None,2,0,5,5,3,2,0,0,1,0,0,8,8,0,0,8,8,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,Unharmed,0,Lerastir,None,Stone Wall w/ Moat
Siege,61,47,-24,Crushing Defeat,0,7,8,3,0,1,0,1,1,1,35,9,8,18,28,6,0,0,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,2,0,0,8,0,0,0,13,Unharmed,0,Menoriad,None,2,5,5,5,3,1,0,0,0,2,0,64,16,29,19,15,60,16,25,19,13,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,2,Unharmed,1,Beladimir,None,Wooden Wall w/ Moat
Siege,46,67,-20,Crushing Defeat,0,7,2,0,0,0,0,0,0,0,49,35,4,10,31,15,7,4,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,8,1,0,1,16,Wounded,0,Lerastir,None,1,2,2,4,1,0,0,0,1,0,1,55,23,4,28,34,45,17,4,24,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,2,3,1,0,0,10,1,2,0,4,Unharmed,0,Menoriad,None,Wooden Wall w/ Moat
Siege,59,48,-77,Crushing Defeat,0,8,5,1,0,0,0,1,0,1,60,30,12,18,33,31,12,8,11,19,3,0,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,1,14,Wounded,0,Rebel,None,1,5,5,9,0,0,0,0,0,0,1,110,34,46,30,41,100,34,40,26,39,0,3,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,2,0,2,Unharmed,0,Rebel,None,Stone Wall
Siege,52,64,39,Decisive Victory,1,9,7,1,0,0,0,1,0,1,44,14,16,14,26,34,4,16,14,23,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,3,Unharmed,0,Beladimir,None,2,0,5,10,1,0,0,0,1,0,0,5,0,5,0,4,5,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Wounded,1,Menoriad,None,Stone Wall w/ Moat
Siege,48,67,-50,Crushing Defeat,0,5,9,1,0,1,0,0,0,1,70,12,36,22,30,45,12,16,17,14,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,1,1,16,Unharmed,0,Beladimir,None,0,5,2,4,3,0,1,0,2,0,1,116,68,32,16,56,109,65,28,16,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,14,4,2,0,6,Unharmed,1,Lerastir,None,None
Siege,57,62,56,Decisive Victory,1,9,9,1,0,0,0,1,0,0,81,43,16,22,23,70,32,16,22,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,4,1,0,3,Unharmed,1,Lerastir,None,0,5,5,7,1,0,0,0,1,0,1,45,21,14,10,27,21,9,8,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,7,1,0,0,9,Unharmed,0,Lerastir,None,Stone Wall w/ Moat
Siege,55,57,108,Decisive Victory,1,6,2,1,0,0,0,1,0,1,122,56,34,32,46,113,47,34,32,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,12,5,2,0,5,Unharmed,1,Lerastir,None,3,4,3,5,2,0,0,0,2,0,0,67,41,8,18,45,24,12,4,8,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,12,1,0,1,17,Unharmed,1,Lerastir,None,Wooden Wall
Siege,52,34,58,Decisive Victory,1,6,7,2,0,0,0,2,0,0,114,66,20,28,72,100,58,14,28,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,3,0,2,2,3,2,0,0,0,0,0,0,0,0,0,0,19,2,5,0,4,Unharmed,0,Lerastir,None,5,5,0,1,3,1,0,0,0,2,0,96,50,32,14,70,25,13,8,4,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,3,4,2,1,2,1,0,0,0,0,0,0,0,0,0,0,18,1,0,3,33,Unharmed,1,Lerastir,None,Wooden Wall
Siege,46,38,146,Decisive Victory,1,6,2,5,2,1,0,1,1,0,81,41,20,20,60,48,24,10,14,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,16,0,0,0,9,Unharmed,0,Lerastir,None,5,3,3,10,1,0,0,0,1,0,0,4,4,0,0,4,4,4,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Unharmed,0,Rebel,None,Wooden Wall
Siege,59,51,-90,Crushing Defeat,0,5,4,3,0,2,1,1,0,1,57,36,9,12,45,17,17,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,0,2,0,1,1,0,12,0,0,2,25,Unharmed,0,Menoriad,None,0,1,5,1,3,0,0,0,2,1,0,125,67,34,24,62,116,58,34,24,57,0,0,0,0,0,0,0,0,0,3,3,4,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,4,0,5,Unharmed,0,Beladimir,None,None
Siege,44,52,-145,Crushing Defeat,0,5,9,2,1,0,0,0,1,0,21,0,12,9,17,0,0,0,0,9,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,8,Unharmed,1,Rebel,None,0,1,4,2,2,0,0,0,0,2,1,121,57,30,34,49,106,46,30,30,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,13,5,1,0,6,Unharmed,1,Lerastir,None,None
Siege,53,60,45,Decisive Victory,1,6,3,2,0,0,0,2,0,0,42,8,23,11,26,30,4,18,8,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,1,7,1,2,0,3,Unharmed,1,Menoriad,None,2,5,1,3,1,0,1,0,0,0,1,25,12,9,4,23,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3,6,0,0,0,13,Unharmed,1,Menoriad,None,Wooden Wall
Siege,44,42,58,Decisive Victory,1,5,5,2,0,1,0,0,1,0,103,25,24,54,43,88,25,20,43,36,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,2,0,7,Unharmed,0,Beladimir,None,0,4,0,4,1,0,0,0,1,0,1,79,45,20,14,50,40,24,8,8,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,13,1,1,1,16,Unharmed,0,Lerastir,None,None
Siege,66,42,-11,Valiant Defeat,0,8,4,2,0,1,0,1,0,1,88,22,33,33,32,55,16,20,19,19,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,1,0,13,Unharmed,1,Beladimir,None,5,3,4,3,4,0,2,0,2,0,0,99,63,20,16,48,84,48,20,16,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,4,2,0,8,Wounded,1,Lerastir,None,Stone Wall
