BattleType,ARandomTot,DRandomTot,EndingTot,Outcome,AWon,Supplies,AGenRank,AGenARBonus,AGenArmorBonus,AGenWeaponBonus,AGenFollowerBonus,AGenBannerBonus,AGenTrinketBonus,AAdvancedCombatDeck,ABeginARUnitBonus,ABeginMeleeBonus,ABeginRangedBonus,ABeginCavalryBonus,ABeginSoldiers,AEndARUnitBonus,AEndMeleeBonus,AEndRangedBonus,AEndCavalryBonus,AEndSoldiers,ARebelRivermenMercenaries,ARebelRangerOfForest,ARebelCourierRiders,ARebelMountainMen,ARebelAxemenOfVale,ARebelValeCavalry,ARebelLightWoodmen,ARebelWoodsmenArchers,ARebelRidersOfWood,ALightWoodmen,AGuardOfBeladimir,ABeladimirSpearmen,AWoodsmenArchers,AArchersOfBeladimir,ACoastalGuards,ARidersOfWood,ABeladimirCavalry,APlainsCavalry,AMountainMen,ALerastirShieldbearers,ALerastirSpears,APikesOfLerastir,AAxemenOfVale,ABowmenOfLerastir,ACrossbowmenOfSouth,AValeCavalry,ATerritoryGuardsmen,ALerastirPalaceCavalry,AShieldmaidensOfNorth,AMenoriadSpearmen,AAxemenOfWastes,AMenoriadArchers,ARangersOfForest,ACourierRiders,AMenoriadCavalry,ARoyalCavalry,AHuntersOfNorth,ARivermenMercenaries,ATotUnits,ATotReinforcements,AUpgrades,AUnitCas,ASoldierCas,AEndGenState,ATreasureReceived,AFaction,AShips,ARams,ASiegeTowers,ACatapults,MonType,MonCoinVal,MonARValue
Monster,45,51,-20,Crushing Defeat,0,None,1,1,0,0,0,1,0,1,44,16,12,16,18,24,8,8,8,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,None,3,25,Unharmed,None,Beladimir,None,None,None,None,Demon,700,60
Monster,56,42,55,Decisive Victory,1,None,4,0,0,0,0,0,0,0,97,35,22,40,42,77,35,12,30,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,4,0,2,0,0,0,0,0,0,0,0,0,0,12,3,None,1,9,Unharmed,None,Lerastir,None,None,None,None,Demon,700,60
Monster,52,58,112,Decisive Victory,1,None,10,1,1,0,0,0,0,1,127,64,26,37,63,87,42,22,23,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,1,1,1,3,1,0,1,17,4,None,2,16,Unharmed,None,Menoriad,None,None,None,None,Minotaur,200,20
Monster,61,57,84,Decisive Victory,1,None,10,3,2,0,0,1,0,1,107,43,37,27,68,91,38,29,24,60,0,0,0,0,0,0,0,0,0,2,3,2,2,1,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,None,1,8,Unharmed,None,Beladimir,None,None,None,None,Troll,400,40
Monster,52,49,126,Decisive Victory,1,None,6,2,0,0,0,0,2,1,135,58,38,39,70,104,42,30,32,50,0,1,0,5,1,1,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,None,2,20,Unharmed,None,Rebel,None,None,None,None,Minotaur,200,20
Monster,64,47,65,Decisive Victory,1,None,5,2,1,0,0,1,0,1,111,31,39,41,69,82,25,22,35,59,0,0,0,0,0,0,0,0,0,3,1,1,2,3,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,None,1,10,Wounded,None,Beladimir,None,None,None,None,Dragon,1400,70
Monster,40,53,3,Close Victory,1,None,1,3,0,0,0,2,1,0,72,27,18,27,39,47,13,14,20,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,3,1,1,0,1,11,2,None,2,18,Unharmed,None,Menoriad,None,None,None,None,Demon,700,60
Monster,60,44,6,Close Victory,1,None,8,0,0,0,0,0,0,0,52,22,20,10,42,34,17,12,5,35,0,0,0,0,0,0,0,0,0,0,2,2,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,None,1,7,Unharmed,None,Beladimir,None,None,None,None,Dragon,1400,70
Monster,35,67,7,Close Victory,1,None,2,0,0,0,0,0,0,0,97,52,22,23,53,64,26,22,16,31,3,1,0,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,None,3,22,Unharmed,None,Rebel,None,None,None,None,Demon,700,60
Monster,59,61,89,Decisive Victory,1,None,2,3,2,0,0,1,0,0,106,39,24,43,67,101,39,24,38,65,0,0,0,0,0,0,0,0,0,1,3,2,2,0,2,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,None,0,2,Unharmed,None,Beladimir,None,None,None,None,Minotaur,200,20
Monster,57,42,149,Decisive Victory,1,None,4,1,0,0,0,0,1,0,149,54,44,51,69,126,50,44,32,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,1,3,1,3,2,0,19,5,None,1,8,Unharmed,None,Menoriad,None,None,None,None,Minotaur,200,20
Monster,68,58,31,Decisive Victory,1,None,7,1,0,0,0,1,0,1,83,30,30,23,65,61,18,24,19,56,1,5,2,2,3,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,None,1,9,Wounded,None,Rebel,None,None,None,None,Dragon,1400,70
Monster,52,65,55,Decisive Victory,1,None,5,1,1,0,0,0,0,1,122,46,41,35,60,95,41,33,21,44,0,0,0,0,0,0,0,0,0,1,4,1,2,1,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,None,2,16,Unharmed,None,Beladimir,None,None,None,None,Demon,700,60
Monster,67,47,31,Decisive Victory,1,None,8,1,0,0,0,1,0,1,62,22,18,22,21,39,12,12,15,10,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,None,1,11,Wounded,None,Rebel,None,None,None,None,Demon,700,60
Monster,45,54,59,Decisive Victory,1,None,6,2,1,0,0,0,1,1,110,58,17,35,66,79,44,17,18,52,0,0,0,0,0,0,0,0,0,3,4,3,1,1,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,None,2,14,Unharmed,None,Beladimir,None,None,None,None,Giant,500,50
Monster,57,51,89,Decisive Victory,1,None,10,0,0,0,0,0,0,1,103,42,34,27,59,85,30,34,21,53,5,3,2,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,None,0,6,Unharmed,None,Rebel,None,None,None,None,Hobgoblin,300,30
Monster,48,67,25,Decisive Victory,1,None,5,0,0,0,0,0,0,1,69,21,32,16,16,59,21,22,16,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,4,4,None,0,5,Unharmed,None,Menoriad,None,None,None,None,Hobgoblin,300,30
Monster,42,41,11,Heroic Victory,1,None,1,0,0,0,0,0,0,0,59,28,16,15,23,44,16,16,12,13,2,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,None,1,10,Unharmed,None,Rebel,None,None,None,None,Giant,500,50
Monster,44,48,-37,Crushing Defeat,0,None,10,1,1,0,0,0,0,1,26,14,4,8,11,12,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,None,1,11,Wounded,None,Lerastir,None,None,None,None,Dragon,1400,70
Monster,72,61,106,Decisive Victory,1,None,2,2,0,0,0,1,1,0,111,67,26,18,59,102,62,22,18,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,15,3,None,0,6,Unharmed,None,Lerastir,None,None,None,None,Minotaur,200,20
Monster,65,53,74,Decisive Victory,1,None,4,0,0,0,0,0,0,0,108,31,36,41,68,90,31,27,32,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,3,3,2,2,2,19,2,None,1,9,Wounded,None,Menoriad,None,None,None,None,Giant,500,50
Monster,51,45,115,Decisive Victory,1,None,2,3,0,1,0,2,0,0,134,54,50,30,68,100,44,32,24,55,0,5,1,2,3,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,None,1,13,Unharmed,None,Rebel,None,None,None,None,Hobgoblin,300,30
Monster,50,38,36,Decisive Victory,1,None,2,1,0,0,0,1,0,0,61,28,8,25,53,46,28,4,14,46,2,0,1,0,2,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,None,1,7,Unharmed,None,Rebel,None,None,None,None,Troll,400,40
Monster,38,52,94,Decisive Victory,1,None,7,1,0,0,0,1,0,1,120,28,42,50,51,96,20,36,40,42,1,3,2,0,0,3,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,None,1,9,Unharmed,None,Rebel,None,None,None,None,Minotaur,200,20
Monster,58,55,88,Decisive Victory,1,None,6,1,0,0,0,1,0,0,148,82,32,34,77,99,43,28,28,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2,1,3,0,2,5,1,0,0,0,0,0,0,0,0,0,0,20,5,None,3,21,Unharmed,None,Lerastir,None,None,None,None,Dragon,1400,70
Monster,51,58,47,Decisive Victory,1,None,4,1,0,0,0,1,0,1,99,27,21,51,47,74,27,16,31,35,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,None,1,12,Unharmed,None,Beladimir,None,None,None,None,Giant,500,50
Monster,62,62,51,Decisive Victory,1,None,10,1,0,0,0,1,0,0,100,46,28,26,38,68,24,22,22,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,10,4,None,1,12,Unharmed,None,Lerastir,None,None,None,None,Demon,700,60
Monster,52,66,-50,Crushing Defeat,0,None,7,2,0,0,0,2,0,1,25,25,0,0,20,4,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,None,1,10,Slain,None,Lerastir,None,None,None,None,Dragon,1400,70
Monster,61,47,77,Decisive Victory,1,None,9,1,0,0,0,1,0,1,93,32,36,25,41,75,24,32,19,28,1,2,1,2,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,None,1,13,Unharmed,None,Rebel,None,None,None,None,Troll,400,40
Monster,62,46,98,Decisive Victory,1,None,4,3,1,1,0,1,0,1,135,42,61,32,68,106,32,51,23,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,2,1,1,5,1,18,4,None,1,10,Wounded,None,Menoriad,None,None,None,None,Demon,700,60
Monster,44,74,23,Decisive Victory,1,None,10,2,0,0,0,2,0,0,101,36,34,31,54,74,24,28,22,40,2,3,3,1,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,None,2,14,Unharmed,None,Rebel,None,None,None,None,Demon,700,60
Monster,55,67,9,Close Victory,1,None,2,1,0,0,0,1,0,1,38,13,4,21,20,21,9,4,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,6,1,None,0,6,Unharmed,None,Menoriad,None,None,None,None,Minotaur,200,20
Monster,55,51,67,Decisive Victory,1,None,8,2,2,0,0,0,0,1,93,42,24,27,41,64,28,18,18,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,2,1,0,2,0,1,11,3,None,1,13,Unharmed,None,Menoriad,None,None,None,None,Troll,400,40
Monster,56,41,-9,Close Defeat,0,None,4,2,0,0,0,2,0,1,40,26,10,4,20,12,4,4,4,3,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,None,2,17,Unharmed,None,Rebel,None,None,None,None,Dragon,1400,70
Monster,64,58,18,Heroic Victory,1,None,1,2,0,0,0,2,0,1,79,35,26,18,38,45,13,20,12,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,10,2,None,2,14,Unharmed,None,Lerastir,None,None,None,None,Dragon,1400,70
Monster,60,46,61,Decisive Victory,1,None,4,3,0,0,0,1,2,1,110,48,36,26,39,95,45,30,20,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,10,5,None,0,6,Unharmed,None,Lerastir,None,None,None,None,Dragon,1400,70
Monster,70,63,22,Decisive Victory,1,None,5,1,0,0,1,1,0,0,49,12,16,21,10,36,12,12,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,3,3,None,0,5,Unharmed,None,Menoriad,None,None,None,None,Troll,400,40
Monster,79,65,94,Decisive Victory,1,None,6,0,0,0,0,0,0,1,104,45,32,27,71,85,33,28,24,61,0,0,0,0,0,0,0,0,0,2,3,3,1,4,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,None,1,10,Unharmed,None,Beladimir,None,None,None,None,Hobgoblin,300,30
Monster,52,60,-43,Crushing Defeat,0,None,4,1,0,0,0,1,0,0,30,0,18,12,28,3,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,2,0,8,0,None,2,19,Wounded,None,Menoriad,None,None,None,None,Dragon,1400,70
Monster,67,56,50,Decisive Victory,1,None,4,4,0,0,0,2,2,0,51,30,10,11,34,33,22,4,7,29,2,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,None,0,5,Unharmed,None,Rebel,None,None,None,None,Minotaur,200,20
Monster,57,50,57,Decisive Victory,1,None,6,2,0,0,0,2,0,0,62,23,17,22,29,52,23,13,16,24,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,None,0,5,Unharmed,None,Beladimir,None,None,None,None,Minotaur,200,20
Monster,46,42,107,Decisive Victory,1,None,5,3,2,0,0,1,0,1,115,51,48,16,52,88,28,44,16,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,None,1,13,Unharmed,None,Lerastir,None,None,None,None,Minotaur,200,20
Monster,49,39,97,Decisive Victory,1,None,5,5,2,1,0,2,0,1,117,37,39,41,73,80,22,30,28,52,0,0,0,0,0,0,0,0,0,2,3,1,0,3,4,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,None,3,21,Unharmed,None,Beladimir,None,None,None,None,Troll,400,40
Monster,54,59,33,Decisive Victory,1,None,9,2,0,2,0,0,0,1,87,29,29,29,22,73,20,24,29,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,6,5,None,0,6,Unharmed,None,Menoriad,None,None,None,None,Demon,700,60
Monster,53,57,15,Heroic Victory,1,None,4,0,0,0,0,0,0,1,55,30,8,17,36,33,14,8,11,26,1,0,2,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,None,1,10,Unharmed,None,Rebel,None,None,None,None,Troll,400,40
Monster,83,67,97,Decisive Victory,1,None,7,1,0,0,0,1,0,0,93,16,45,32,33,64,16,26,22,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,2,1,0,9,4,None,1,9,Unharmed,None,Menoriad,None,None,None,None,Minotaur,200,20
Monster,66,71,47,Decisive Victory,1,None,2,1,0,0,0,1,0,1,79,26,25,28,40,73,20,25,28,37,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,None,0,3,Unharmed,None,Beladimir,None,None,None,None,Hobgoblin,300,30
Monster,53,48,80,Decisive Victory,1,None,8,1,1,0,0,0,0,0,136,60,39,37,75,105,48,30,27,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,1,3,1,3,5,20,4,None,2,17,Unharmed,None,Menoriad,None,None,None,None,Dragon,1400,70
Monster,60,54,0,Draw,0,None,5,0,0,0,0,0,0,0,49,21,16,12,12,36,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,None,1,12,Unharmed,None,Lerastir,None,None,None,None,Demon,700,60
Monster,60,59,67,Decisive Victory,1,None,1,1,0,0,0,1,0,0,104,44,24,36,61,72,36,20,16,45,1,0,2,3,2,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,None,2,16,Wounded,None,Rebel,None,None,None,None,Troll,400,40
Monster,49,43,50,Decisive Victory,1,None,7,1,0,0,0,0,1,1,86,46,12,28,37,50,22,12,16,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,10,3,None,1,13,Unharmed,None,Lerastir,None,None,None,None,Giant,500,50
Monster,44,52,61,Decisive Victory,1,None,10,2,0,0,0,0,2,1,97,26,36,35,25,65,20,25,20,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,2,0,7,5,None,1,11,Unharmed,None,Menoriad,None,None,None,None,Troll,400,40
Monster,65,68,19,Heroic Victory,1,None,10,1,1,0,0,0,0,0,51,27,12,12,23,28,12,8,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2,None,1,11,Unharmed,None,Lerastir,None,None,None,None,Troll,400,40
Monster,62,51,-29,Crushing Defeat,0,None,6,0,0,0,1,0,0,1,14,8,6,0,12,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,None,1,8,Unharmed,None,Rebel,None,None,None,None,Demon,700,60
Monster,62,51,48,Decisive Victory,1,None,1,1,0,0,0,1,0,0,85,34,20,31,40,70,29,16,25,32,0,0,0,0,0,0,0,0,0,3,2,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,None,1,8,Wounded,None,Beladimir,None,None,None,None,Giant,500,50
Monster,61,67,-21,Crushing Defeat,0,None,3,2,0,0,0,2,0,1,20,10,0,10,17,0,0,0,0,6,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,None,1,11,Unharmed,None,Rebel,None,None,None,None,Troll,400,40
Monster,50,54,-5,Close Defeat,0,None,10,1,1,0,0,0,0,1,18,10,4,4,4,12,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,None,0,6,Unharmed,None,Lerastir,None,None,None,None,Hobgoblin,300,30
Monster,47,59,44,Decisive Victory,1,None,4,1,0,0,0,0,1,1,101,63,18,20,72,81,55,9,17,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,1,0,2,1,1,2,2,19,1,None,1,11,Unharmed,None,Menoriad,None,None,None,None,Giant,500,50
Monster,52,61,44,Decisive Victory,1,None,4,3,0,1,0,1,1,1,66,26,20,20,4,60,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,None,1,7,Unharmed,None,Beladimir,None,None,None,None,Minotaur,200,20
Monster,73,65,101,Decisive Victory,1,None,3,1,0,0,1,0,1,1,119,53,28,38,67,88,38,22,28,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,1,2,2,4,3,0,0,0,0,0,0,0,0,0,0,18,3,None,2,14,Unharmed,None,Lerastir,None,None,None,None,Hobgoblin,300,30
